root,verb_entry_id,entry_type,measure,status,meaning,current_past,current_present,current_imperative,qutrub_result,qutrub_future_type,qutrub_past,qutrub_present,qutrub_imperative,past_match,present_match,imperative_match,safe_corrections,qutrub_url
سمع,سمع-main,Main,I,reviewed,"hearing, listening",سَمِعَ,يَسْمَعُ,اِسْمَعْ,matched_existing_future_type,فتحة,سَمِعَ,يَسْمَعُ,اِسْمَعْ,True,True,True,,https://qutrub.arabeyes.org/?verb=سَمِعَ
كتب,كتب-main,Main,I,reviewed,writing,كَتَبَ,يَكْتُبُ,اُكْتُبْ,matched_existing_future_type,ضمة,كَتَبَ,يَكْتُبُ,اُكْتُبْ,True,True,True,,https://qutrub.arabeyes.org/?verb=كَتَبَ
فتح,فتح-main,Main,I,reviewed,opening,فَتَحَ,يَفْتَحُ,اِفْتَحْ,matched_existing_future_type,فتحة,فَتَحَ,يَفْتَحُ,اِفْتَحْ,True,True,True,,https://qutrub.arabeyes.org/?verb=فَتَحَ
علم,علم-main,Main,I,reviewed,knowing,عَلِمَ,يَعْلَمُ,اِعْلَمْ,matched_existing_future_type,فتحة,عَلِمَ,يَعْلَمُ,اِعْلَمْ,True,True,True,,https://qutrub.arabeyes.org/?verb=عَلِمَ
علم,علم-csv-38,Variant,II,ai_draft,To teach,علّم,يعلم,علم,unambiguous,فتحة,عَلَّمَ,يُعَلِّمُ,عَلِّمْ,False,False,False,past=عَلَّمَ; present=يُعَلِّمُ; imperative=عَلِّمْ,https://qutrub.arabeyes.org/?verb=علّم
علم,علم-csv-139,Variant,V,ai_draft,To learn,تعلّم,يتعلّم,تعلّم,unambiguous,فتحة,تَعَلَّمَ,يَتَعَلَّمُ,تَعَلَّمْ,False,False,False,past=تَعَلَّمَ; present=يَتَعَلَّمُ; imperative=تَعَلَّمْ,https://qutrub.arabeyes.org/?verb=تعلّم
دخل,دخل-main,Main,I,reviewed,entering,دَخَلَ,يَدْخُلُ,اُدْخُلْ,matched_existing_future_type,ضمة,دَخَلَ,يَدْخُلُ,اُدْخُلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=دَخَلَ
خرج,خرج-main,Main,I,reviewed,"exiting, going out",خَرَجَ,يَخْرُجُ,اُخْرُجْ,matched_existing_future_type,ضمة,خَرَجَ,يَخْرُجُ,اُخْرُجْ,True,True,True,,https://qutrub.arabeyes.org/?verb=خَرَجَ
خرج,خرج-csv-107,Variant,V,ai_draft,To graduate,تخرّج,يتخرّج,تخرّج,unambiguous,فتحة,تَخَرَّجَ,يَتَخَرَّجُ,تَخَرَّجْ,False,False,False,past=تَخَرَّجَ; present=يَتَخَرَّجُ; imperative=تَخَرَّجْ,https://qutrub.arabeyes.org/?verb=تخرّج
خرج,خرج-csv-205,Variant,IV,ai_draft,To take out,أخرج,يخرج,أخرج,unambiguous,فتحة,أَخْرَجَ,يُخْرِجُ,أَخْرِجْ,False,False,False,past=أَخْرَجَ; present=يُخْرِجُ; imperative=أَخْرِجْ,https://qutrub.arabeyes.org/?verb=أخرج
عبد,عبد-main,Main,I,ai_draft,"worshipping, serving",عَبَدَ,يَعْبُدُ,اُعْبُدْ,matched_existing_future_type,ضمة,عَبَدَ,يَعْبُدُ,اُعْبُدْ,True,True,True,,https://qutrub.arabeyes.org/?verb=عَبَدَ
عبد,عبد-csv-430,Variant,X,ai_draft,To enslave,استعبد,يستعبد,استعبد,unambiguous,فتحة,اِسْتَعْبَدَ,يَسْتَعْبِدُ,اِسْتَعْبِدْ,False,False,False,past=اِسْتَعْبَدَ; present=يَسْتَعْبِدُ; imperative=اِسْتَعْبِدْ,https://qutrub.arabeyes.org/?verb=استعبد
رحم,رحم-main,Main,I,ai_draft,"mercy, compassion",رَحِمَ,يَرْحَمُ,اِرْحَمْ,matched_existing_future_type,فتحة,رَحِمَ,يَرْحَمُ,اِرْحَمْ,True,True,True,,https://qutrub.arabeyes.org/?verb=رَحِمَ
غفر,غفر-main,Main,I,ai_draft,"forgiving, covering",غَفَرَ,يَغْفِرُ,اِغْفِرْ,matched_existing_future_type,كسرة,غَفَرَ,يَغْفِرُ,اِغْفِرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=غَفَرَ
غفر,غفر-csv-543,Variant,X,ai_draft,To seek forgiveness,استغفر,يستغفر,استغفر,unambiguous,فتحة,اِسْتَغْفَرَ,يَسْتَغْفِرُ,اِسْتَغْفِرْ,False,False,False,past=اِسْتَغْفَرَ; present=يَسْتَغْفِرُ; imperative=اِسْتَغْفِرْ,https://qutrub.arabeyes.org/?verb=استغفر
كفر,كفر-main,Main,I,ai_draft,"covering, disbelieving",كَفَرَ,يَكْفُرُ,اُكْفُرْ,matched_existing_future_type,ضمة,كَفَرَ,يَكْفُرُ,اُكْفُرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=كَفَرَ
سلم,سلم-main,Main,I,ai_draft,"peace, safety, surrender",سَلِمَ,يَسْلَمُ,اِسْلَمْ,matched_existing_future_type,فتحة,سَلِمَ,يَسْلَمُ,اِسْلَمْ,True,True,True,,https://qutrub.arabeyes.org/?verb=سَلِمَ
سلم,سلم-csv-130,Variant,II,ai_draft,"To give, submit, hand over",سلّم,يسلم,سلم,unambiguous,فتحة,سَلَّمَ,يُسَلِّمُ,سَلِّمْ,False,False,False,past=سَلَّمَ; present=يُسَلِّمُ; imperative=سَلِّمْ,https://qutrub.arabeyes.org/?verb=سلّم
سلم,سلم-csv-191,Variant,IV,ai_draft,To embrace Islaam,أسلم,يسلم,أسلم,unambiguous,فتحة,أَسْلَمَ,يُسْلِمُ,أَسْلِمْ,False,False,False,past=أَسْلَمَ; present=يُسْلِمُ; imperative=أَسْلِمْ,https://qutrub.arabeyes.org/?verb=أسلم
عمل,عمل-main,Main,I,ai_draft,"working, doing",عَمِلَ,يَعْمَلُ,اِعْمَلْ,matched_existing_future_type,فتحة,عَمِلَ,يَعْمَلُ,اِعْمَلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=عَمِلَ
عمل,عمل-csv-177,Variant,X,ai_draft,To use,استعمل,يستعمل,استعمل,unambiguous,فتحة,اِسْتَعْمَلَ,يَسْتَعْمِلُ,اِسْتَعْمِلْ,False,False,False,past=اِسْتَعْمَلَ; present=يَسْتَعْمِلُ; imperative=اِسْتَعْمِلْ,https://qutrub.arabeyes.org/?verb=استعمل
عمل,عمل-csv-214,Variant,III,ai_draft,"To deal with, treat",عامل,يعامل,عامل,unambiguous,فتحة,عَامَلَ,يُعَامِلُ,عَامِلْ,False,False,False,past=عَامَلَ; present=يُعَامِلُ; imperative=عَامِلْ,https://qutrub.arabeyes.org/?verb=عامل
فعل,فعل-main,Main,I,ai_draft,"doing, acting",فَعَلَ,يَفْعَلُ,اِفْعَلْ,matched_existing_future_type,فتحة,فَعَلَ,يَفْعَلُ,اِفْعَلْ,True,True,True,,https://qutrub.arabeyes.org/?verb=فَعَلَ
فعل,فعل-csv-405,Variant,VII,ai_draft,To be irritable,انفعل,ينفعل,انفعل,unambiguous,فتحة,اِنْفَعَلَ,يَنْفَعِلُ,اِنْفَعِلْ,False,False,False,past=اِنْفَعَلَ; present=يَنْفَعِلُ; imperative=اِنْفَعِلْ,https://qutrub.arabeyes.org/?verb=انفعل
بصر,بصر-main,Main,I,ai_draft,"seeing, insight",بَصُرَ,يَبْصُرُ,اُبْصُرْ,matched_existing_future_type,ضمة,بَصُرَ,يَبْصُرُ,اُبْصُرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=بَصُرَ
شهد,شهد-main,Main,I,ai_draft,"witnessing, being present",شَهِدَ,يَشْهَدُ,اِشْهَدْ,matched_existing_future_type,فتحة,شَهِدَ,يَشْهَدُ,اِشْهَدْ,True,True,True,,https://qutrub.arabeyes.org/?verb=شَهِدَ
ذكر,ذكر-main,Main,I,ai_draft,"remembering, mentioning",ذَكَرَ,يَذْكُرُ,اُذْكُرْ,matched_existing_future_type,ضمة,ذَكَرَ,يَذْكُرُ,اُذْكُرْ,True,True,True,,https://qutrub.arabeyes.org/?verb=ذَكَرَ
ذكر,ذكر-csv-434,Variant,V,ai_draft,"To remember, recall",تذكر,يتذكر,تذكر,error: فتحة: 'NoneType' object has no attribute 'get' | ضمة: 'NoneType' object has no attribute 'get' | كسرة: 'NoneType' object has no attribute 'get',,,,,,,,,https://qutrub.arabeyes.org/?verb=تذكر
